Title,Description,Topic,Topic_isced,Size,Name,Discipline,Discipline_isced,Biography,Nationality,Gender,Position,Affiliation,Country_University,Prestige,Year,Location,Notes,
Financial nonlinear and financial time series,,Finance,Business and administration,8,Rossitsa Yalamova,Finance,Business and administration,,,Female,Professor,University of Lethbridge,Canada,101-150,2007,Beijing,Emily,
The Evolution from Disorder to Order in the Real Estate Market,,Real Estate,Business and administration,6,Richard Boland,,,,,Male,Postdoc,University of Manchester,United Kingdom,Top 50,2007,Beijing,Emily,
The Evolution from Disorder to Order in the Real Estate Market,,Real Estate,Business and administration,6,Austin Dingwall,Architecture,Architecture and building,,,,,University of Michigan,United States,Top 50,2007,Beijing,Emily,
On the random walk of stock prices: Sign/Size Dependence,,Finance,Business and administration,2,Gabriele La Spada,Physics,Physical sciences,,,Male,Student,University of Rome,Italy,201-300,2007,Santa Fe,Emily,
The Evolution from Disorder to Order in the Real Estate Market,,Real Estate,Business and administration,6,Richard Callahan,Sociology,Social and behavioural science,"Hi, my name is Richard Callahan and I'm a fourth-year graduate student in Sociology at the University of Washington. Back in 2007 at the SFI summer school I was interested in studying the spread of epidemics through social networks, and in particular researching the spread of HIV/AIDS in China. I also have a background in criminology, and my adviser is Dr. Ross Matsueda. Mark Feldman's and Li Shuzhuo's presentations on China's gender imbalance changed my direction a bit, though, as I became interested in understanding how the marriage crunch induced by the gender imbalance could affect the crime rate in China. Taiwan has a similar cultural phenomenon and some excellent data, and I'm fortunate enough to have the opportunity to go to Taipei in September to research this question on a Fulbright scholarship. Such a great opportunity! I'll be able to travel back to the Mainland a couple of times next year as well, so I'll be around.",,Male,Student,University of Washington,United States,Top 50,2007,Beijing,Emily,
Financial nonlinear and financial time series,,Finance,Business and administration,8,Qiao Wang,"Economics, Geography",Social and behavioural science,I am a master student of Economics and Geography in Utrecht University in the Netherlands. I am very glad to get enrolled in the CSSS 2007. Looking forward to c u soon.,,,Student,Utrecht University,Netherlands,51-100,2007,Beijing,Emily,
On the random walk of stock prices: Sign/Size Dependence,,Finance,Business and administration,2,Javier Vicente,,,,,,,,,,2007,Santa Fe,Emily,
Exploring healing strategies on Random Boolean Networks,,Biology?,Computing,5,Alex Healing,"Artificial Intelligence, Computer Science",Computing,"I've been at British Telecommunications Research for a couple of years after graduating from Edinburgh University in Artificial Intelligence & Computer Science. My research is mainly based around introducing autonomic behaviour into large-scale distributed systems so as to better their performance and broker on behalf of users. I prefer bottom-up approaches to handling complexity wherever possible and am inspired by the notion of emergence. More specifically much of my recent research has involved applying multi-agent systems to service-oriented architectures to learn to adapt effectively in highly dynamic environments and elicit self-* behaviours such as healing and optimisation. I'm based in the Pervasive ICT Research Centre and work on an intelligent middleware project as part of the UK MoD Defence Technology Centre initiative.
",,Male,Industry,British Telecommunications Research,United Kingdom,Not University,2007,Santa Fe,Emily,
Exploring healing strategies on Random Boolean Networks,,Biology?,Computing,5,Tim Johann,Systems Biology,Physical sciences,"My name is Tim Johann. I am a physicist by training and in the first year of my Ph.D. studies in the area of Systems Biology.

My main research interests are in nonlinear (and complex) dynamical systems and their structural and temporal evolution. The topic of my studies is the qualitative behaviour of metabolic networks depending on structural conditions. Meaning, which structures in such networks can introduce chaotic destabilisation, which can stabilise and counteract these (and under which conditions). Lyapunov Exponents are the buzzword. Of course, my emphasis is to look for more general principles governing networks in general.
",,Male,Student,EML Research gGmbH,Germany,Not University,2007,Santa Fe,Emily,
The Effects of Network Structure and Dynamics in Complex Systems,,Networks,Computing,6,Carver Tate,"Communication, Culture, Technology",Journalism and information,"Hello, my name is Carver and I am from New York City. I am currently a graduate student at Georgetown University in the Communication, Culture, and Technology Program. I have not chosen a specific topic for my thesis yet, but my interests include the effects of technology on society (both past and present), the problem of information overload in society and how we might create new ways of processing information to make it more manageable, and developing a more interconnected approach to globalization studies that reflects how each element of globalization effects the other. I see complexity theory relating to each of these interests in different ways. With respect to the effects of technology on society, technological innovation and diffusion has followed the traditional S shaped curve and has been shown to mimic the Kondratiev wave. If these patterns are studied more in-depthly it might be possible to make more accurate projections about whether the rate of technological growth and innovation will remain the same or increase in the future. In terms of information overload, I think complexity theory can offer news ways of classifying how ""complex"" a given piece of information is and offer the simplest way of navigating it. Visual simulations of complex information can also offer a new and more easily digestible format, the same way a traditional x-y graph makes it easier to see the behavior and draw conclusions about a function. Finally, up until this point globalization studies have focused on specific parts of globalization such as economics or culture, but there has yet to be an approach that tries to see how all aspects of globalization are connected and effect one another. I think complexity theory offers the best method for trying to synthesize these different areas and creating a more holistic approach, viewing globalization as more of a complex adaptive system. I do not come from a math or computer science background, so my knowledge of each area is very limited. I have been brushing up on calculus and differential equations for the past month and hope that I have learned enough to at least be able to speak the language, but any help from my fellow summer programmers would be greatly appreciated. Also, if there is anyone else in my situation (someone coming from more of a social science/cultural background) I would love to speak with you about how you see complexity theory fitting into your area of interest. I look forward to meeting all of you and having an amazing summer. See you in June, - Carve",United States,Male,Student ,Georgetown University,United States,201-300,2007,Santa Fe,Emily,
The Effects of Network Structure and Dynamics in Complex Systems,,Networks,Computing,6,Luciano Oviendo,Engineering,Engineering and engineering trades,,,Male,Industry,Intel,United States,Not University,2007,Santa Fe,Emily,
The Effects of Network Structure and Dynamics in Complex Systems,,Networks,Computing,6,Alexander Shpunt,Physics,Physical sciences,"Hi All!

My name is Alex. I am PhD candidate in Physics at MIT.

I have BSc in Physics/CS and MSc in EE (Combinatorics and Topology of Information Processing).

My current interests

• Structure and dynamics/scaling/walks in Complex Networks • Rigorous results in Random Graphs/Probabilistic Method with applications • Complex systems; Nonlinear Dynamics and Chaos; Biophysics • Error correction in biological/nanometer scale processes • Percolation theory applied to questions of structural stability • Scaling laws and statistical mechanics • Application of the insights of Theoretical Physics to help solve important problems (e.g. energy sources, global warming, pollution dynamics, bio-sphere sustainability) • Physical Aspects of Information • Fundamental questions in Physics, fundamental limitations imposed by the physical law and solutions when the technological advance hits these limits.

Looking forward to an exciting CSSS 2007!

Alex",,Male,Student ,Massachussetts Institute of Technology,United States,Top 50,2007,Santa Fe,Emily,
The Effects of Network Structure and Dynamics in Complex Systems,,Networks,Computing,6,Joseph DeRosa,Systems Engineering,Engineering and engineering trades,"I am interested in the newly developing field of Complex Systems Engineering. How do people, processes and technology interact to develop (evolve?) new systems - especially the info technology-intensive ones like the World Wide Web? I work in Systems Engineering at the MITRE Corporation. For those of you who don’t know, MITRE is a Federally Funded Research and Development Center – a not for profit operating in the public interest. I have a background in communications theory and electromagnetic theory - a BS, MS and PhD in Electrical Engineering, and some time at Babson College Graduate School of Business. I previously worked in Satellite Communications at MIT Lincoln lab, Communications at LINKABIT (which later spun off QUALCOMM), and had my own consulting company. The Hawaii pictures are more interesting. You should see the ones from Paris and Rome. There was a time when people could not figure out how to analyze a communications or radar signal buried in noise. Then some people like Wiener in the U.S. and Kolmogorov in the Soviet Union asked some different questions, and solved the problem using new methods drawn from random process theory and harmonic analysis. They invented a whole new field that helped usher in the information age. I sense we are on the cusp of a similar revolution in complex systems – thus my sojourn at Santa Fe Institute. At the very least, we should all get some good photos! ",,Male,Industry,MITRE Corporation,United States,Not University,2007,Santa Fe,Emily,
Evolving efficient stochastic search strategies,,Computational Complexity,Computing,3,Frederic Bartumeus,Biology,Life sciences,"I received my PhD in Biology from the University of Barcelona (Spain) in 2005. My research career has been focused on two main topics: limnology (planktonic ecology) and theoretical ecology (spatial ecology). In particular, my research interests are on the study of animal movement and dispersal, at different scales and based on different methodologies. Of special interest are Levy walk models and anomalous diffusion, both in terms of data and in terms of evolutionary analysis of optimal foraging. My research has always been at the interface between theory and empirical work, based on movement models of animals and data to test those models. In the present I am working with Simon Levin at the Department of Ecology and Evolutionary Biology in Princeton University.",,Male,Postdoc,Princeton University,United States,Top 50,2007,Santa Fe,Emily,
The Effects of Network Structure and Dynamics in Complex Systems,,Networks,Computing,6,Ben Mazzotta,"Economisc, International Politics",Social and behavioural science,"Research interests

Development economics 
Finance for development 
Maritime infrastructure investment 
Value creation in public infrastructure 
Cyber security in public infrastructure ",,Male,Student ,Tufts University,United States,151-200,2007,Santa Fe,Emily,
Relativity and invariance in Information Dynamics,,Information Theory,Computing,2,John Mahoney,"Physics, Computer Science, Engineering",Physical sciences;Engineering and engineering trades,"Hello fellow SFIers! My name is John. I'm a grad student in the UC Davis Physics/Computational Science and Engineering group studying entanglement in quantum automata. When not at work, I enjoy being addicted to music. I'm quite excited about the program and I look forward to meeting each of you. Hopefully there will be some time to get out and enjoy a little of the scenery as well.

Interests

Given the novel features of quantum mechanics (superposition, entanglement,..) what are the novel manifestations of these in observable processes? More specifically, I've been trying to understand how entanglement augments properties of these small quantum systems. It takes a fair amount of experimental effort to produce a nice clean pair of entangled electrons. What do you get for it?

Expertise

A broad physics and mathematics background. Maybe someday will claim expertise in quantum measurement.",,Male,Student,University of California Davis,United States,51-100,2007,Santa Fe,Emily,
Exploring healing strategies on Random Boolean Networks,,Biology?,Computing,5,Christian Darabos,Information Systems,Computing,"I am currently enrolled as a second year Ph.D. student in the Information Systems Institute (ISI) [1] at the Business School (HEC) [2] at the University of Lausanne [3], Switzerland. I am particularly interested in Bio-inspired/Natural Computation (i.e., computational systems that use ideas and inspirations from natural biological, ecological and physical systems) for modeling, problem solving and optimization. I am currently working on a project developing and studying simple but efficient models of metabolic and gene regulatory networks.
",,Male,Student,University of Lausanne,Switzerland,101-150,2007,Santa Fe,Emily,
Evolving efficient stochastic search strategies,,Computational Complexity,Computing,3,Elise Larose-Filotas,Geography,Physical sciences,"I am presently a Geography PhD student in the Complex Systems Labat the University of Montreal. I also have a Masters degree in theoretical particle physics from McGill University (‘02). My research activities are oriented towards the study of ecological systems with a statistical physics perspective. At the moment, I am working on developing a spatial model of biological coevolution. I am particularly interested in understanding how space contributes to the evolution of species interactions and to population dynamics in general.",,Female,Student,University of Montreal,Canada,101-150,2007,Santa Fe,Emily,
Exploring healing strategies on Random Boolean Networks,,Biology?,Computing,5,Amitabh Trehan,Computer Science,Computing,"I am working towards a PhD in Computer Science at the University of New Mexico.

My current research is towards developing self-healing algorithms for reconfigurable networks. Reconfigurable networks are networks in which we can add links when needed such as peer-to-peer networks. My advisor Prof. Saia Jared Saia and I are attempting to develop algorithms for efficient reconnections (in terms of some invariants and resource costs) in such networks under attack. We are looking for (and finding) interesting connections in other areas such as electrical circuits and many biological/ecological systems.

Recently, I have also been interested in populations dynamics modelling using coupled differential equations, a project from a NonLinear Dynamics course I took this semester.

I hope to extend these projects during the summer school with the help of enthusiastic experts :)

Otherwise, I am interested in learning about almost everyting around (unless the maths is too complicated!) me and also things in outer space (cosmology). I have an undergraduate degree in Biology. I dabbled a bit in phonetics (and multilingual typesetting (LaTeX), computer codes) too, which formed the subject for my M.Tech. thesis.
",,Male,Student,University of New Mexico,United States,301-400,2007,Santa Fe,Emily,
Relativity and invariance in Information Dynamics,,Information Theory,Computing,2,Joseph Lizier,Information Technology,Computing,"Information dynamics in complex systems: information transfer, information storage and information modification.
ICT applications
Network and service management",,Male,Student ,University of Sydney,Australia,51-100,2007,Santa Fe,Emily,
The Effects of Network Structure and Dynamics in Complex Systems,,Networks,Computing,6,Joseph Lizier,Information Technology,Computing,"Information dynamics in complex systems: information transfer, information storage and information modification.
ICT applications
Network and service management",,Male,Student ,University of Sydney,Australia,51-100,2007,Santa Fe,Emily,
Evolving efficient stochastic search strategies,,Computational Complexity,Computing,3,Joshua Payne,Computer Science,Computing,"My name is Josh Payne and I am currently finishing my 3rd year in a PhD program in the department of Computer Science at the University of Vermont. My research interests are primarily in evolutionary computation and artificial life, but in general I'm interested in just about anything that's worth being interested in.",,Male,Student,University of Vermont,United States,301-400,2007,Santa Fe,Emily,
Exploring healing strategies on Random Boolean Networks,,Biology?,Computing,5,Amelie Veron,Evolutionary Bioinformatics,Life sciences;Computing,"My name is Amélie and I am a postgraduate student of Evolutionary Bioinformatics in the group of Professor Bornberg-Bauer in Münster, Germany. I am interested in questions relating to evolution, and modeling and simulation in general.  I am French and studied at the National Institute of Applied Sciences (INSA) of Lyon, France from September 1998 to September 2004. During that time, I spent a year in Australia as an exchange student in the University of Technology, Sydney (and exploring Australia, too).

In September 2004 I obtained a ""Diplome d'ingénieur"" (which has the equivalent of a Masters) in Bioinformatics and Modelling.

I then went on to do my PhD studies in Germany in Erich Bornberg-Bauer's group in Münster. I spent the first year of my PhD in Manchester, in David Robertson's group. I am now at the end of my third year as a graduate student and hope to obtain my PhD sometime in September.",France,Female,Student,"Westfälische Wilhelms-Universität
",Germany,Not University,2007,Santa Fe,Emily,
Evolving lexical networks from SFI publications,,"Networks, Linguistics",Computing;Humanities,3,Kathryn Cooper,Bioengineering,Engineering and engineering trades;Life sciencess,"Hi Everyone, my name's Kath, and I'm currently at Imperial College London in the first year of my PhD in the Bioengineering department. My first degree is in Physics and I have a masters in Bioinformatics. Briefly, I'm interested in the structure of biological networks, specifically the link between the dynamics on a network and its topology.

Outside of my academic life I'm a very keen rock-climber and I also enjoy running, cycling. I've noticed one or two other climbers profiles on the wiki - don't worry, I will be bringing my rack! The Santa Fe area looks awesome!

Looking forward to meeting you all in June!
",,Female,Student,Imperial College London,United Kingdom,Top 50,2007,Santa Fe,Emily,
Evolving lexical networks from SFI publications,,"Networks, Linguistics",Computing;Humanities,3,Hannah Cornish,"Linguistics, Artificial Intelligence",Humanities,"I'm in the first year of my PhD research at the University of Edinburgh. Primarily a linguist by trade (I got my post-grad MSc in Developmental Linguistics in 2006, under-grad MA(Hons) Linguistics and Artificial Intelligence in 2005) my research is currently focused on the cultural transmission of language. More generally, I'm looking at how language has evolved to have the structural properties it has by developing a new experimental paradigm which allows us to observe artificial languages evolving in populations of human subjects in the laboratory. I'm a member of the Language Evolution and Computation Research Unit - and you should feel free to have a nosy and see what exciting work is going on there.

I'm hoping to get a lot out of this trip - not only in terms of finding my inner math-geek, but also hearing about everyone else's research, getting un-Scottishly tanned, and hopefully making some friends. See you all in June.",United Kingdom,Female,Student,University of Edinburgh,United Kingdom,Top 50,2007,Santa Fe,Emily,
Evolving lexical networks from SFI publications,,"Networks, Linguistics",Computing;Humanities,3,Sayan Bhattacharyya,Comparative Literature,Humanities,"I've a background (and graduate degrees) in both computer science and the humanities. In my ongoing PhD dissertation work (in Comparative Literature), I am, among other things, looking at the tradition in continental philosophy and political theory that originates with Spinoza -- I find much in that tradition of looking at the world that reminds me (in an abstract way) of the complex systems approach.

In a less abstract way: I'm very intrigued by the idea of complex systems approaches to language and linguistics, although I've only barely begun to explore this. It does not relate directly to my dissertation research, but it is be something I would like to explore in the future. Specifically, I am thinking of a paper by Ricard Sole and Ferrer i Cancho on lexical networks that I read recently.
",,Male,Student,University of Michigan,United States,Top 50,2007,Santa Fe,Emily,
Timeseries Data Analysis,,Data Science,Computing;Mathematics and statistics,2,Risi Kondor,"Mathematics, Machine Learning",Mathematics and statistics,"So far I've been a mathematician turned physicist turned computer scientist turned mathematician again. I am finishing a PhD at Columbia in Machine Learning that hopefully shows that group theory and representation theory can really be useful for solving real world learning and estimation problems on computers. I am also looking into integrating machine learning models into GCMs (general circulation models) that are used to predict the Earth's climate. In general, I am interested in the interplay between modern statistical methods (such as machine learning) and the natural sciences.

By the way, in the English speaking world I go by my middle name. People just call me Risi, pronounced ""ri-shi"". My home page can be found here.

",,Male,Student,Columbia University,United States,Top 50,2007,Santa Fe,Emily,
Timeseries Data Analysis,,Data Science,Computing;Mathematics and statistics,2,Chris Atwood,,,,,Male,Industry,Nativis,,Not University,2007,Santa Fe,Emily,
Model Design Alternatives for Supporting Object Conversion in Complex Type Hierarchies,,Engineering,Engineering and engineering trades,1,Brian Lawler,"Engineering, Systems Engineering",Engineering and engineering trades,,,Male,Industry,MITRE Corporation,United States,Not University,2007,Santa Fe,Emily,
Policy Analysis for Agricultural Deforestation in the Peruvian Amazon Rainforest using Agent-Based Model,,Policy,Environmental Protection;Agriculture and forestry and fishery,6,Andrea Kiraly,,,"Hello everyone! I am Andrea Kiraly from Eotvos Lorand University in Budapest, Hungary. My homepage: http://karman3.elte.hu/~kiralya/",,Female,,Eötvös Lorán University of Sciences,Hungary,Unlisted,2007,Beijing,Emily,
Policy Analysis for Agricultural Deforestation in the Peruvian Amazon Rainforest using Agent-Based Model,,Policy,Environmental Protection;Agriculture and forestry and fishery,6,Lanjun Wang,Electronic Engineering,Engineering and engineering trades,"My name is WANG Lanjun. I am a graduate student from Department of Electronic Engineering, Tsinghua University. My research interest is nonlinear and unpridictable phenomenon of drivers in intelligent transportation system. My msn is wanglanjun_nina@hotmail.com. Wish to see you in July!",,Female,Student,Tsinghua University,China,Top 50,2007,Beijing,Emily,
Policy Analysis for Agricultural Deforestation in the Peruvian Amazon Rainforest using Agent-Based Model,,Policy,Environmental Protection;Agriculture and forestry and fishery,6,Yan-Jia Zhao,,,,,,,Tsinghua University,China,Top 50,2007,Beijing,Emily,
Policy Analysis for Agricultural Deforestation in the Peruvian Amazon Rainforest using Agent-Based Model,,Policy,Environmental Protection;Agriculture and forestry and fishery,6,Federico Bert,Agronomy ,Agriculture and forestry and fishery,"Hi, I am Fderico Bert, from Argentina. I am agronomist and cuarrently I am completing my PhD at the University of Buenos Aires. My research is aimed at understanding and modeling adaptive management in response to interannual and interdecadal climate variability in agroecosystems. This case study combines the complexity, multiplicity of scales, and feedbacks of biophysical interactions in natural ecosystems with the additional intricacies of human decision-making. I am very happy to be able to participate at the CSSS and I see you soon!",Argentina,Male,Student,Universidad de Buenos Aires,Argentinia,201-300,2007,Beijing,Emily,
Policy Analysis for Agricultural Deforestation in the Peruvian Amazon Rainforest using Agent-Based Model,,Policy,Environmental Protection;Agriculture and forestry and fishery,6,Jaqueline Garcia-Yi,"Food Science, Ecoloy and Environmental Science",Agriculture and forestry and fishery;Life sciencess,"I am a doctoral student at the Center for Development Research (ZEF) at the University of Bonn, Germany. My undergrad is on food science from the National Agricultural University of Peru and I have a masters in ecology and environmental science from the University of Maine in US.",Peru,Female,Student,University of Bonn,Germany,101-150,2007,Beijing,Emily,
Policy Analysis for Agricultural Deforestation in the Peruvian Amazon Rainforest using Agent-Based Model,,Policy,Environmental Protection;Agriculture and forestry and fishery,6,Thom Scott-Phillips,Behavioral Ecology,Life sciences,"1994-1998, MMath at the University of Sussex; 1998-2004, split between teaching English as a Foreign Language (in Bolivia, Italy and the UK) and a short career in e-learning, designing and writing online business training courses; 2004-2005, MSc. in the Evolution of Language and Cognition, University of Edinburgh; 2005-present, PhD. in the Language Evolution and Computation Research Unit, University of Edinburgh; thesis title something like ""The behavioural ecology of human communication""; Outside of academia much of my time is taken up by swing dancing, which I teach in Edinburgh. I'll be going dancing while in Beijing, and I'd be happy to introduce people to swing if they so wish. ",,Male,Student,University of Edinburgh,United Kingdom,Top 50,2007,Beijing,Emily,
A System Dynamics Model of Smoking Prevalence in Pakistan,,Human Behavior,Health,3,Saleha Habibullah,Statistics,Mathematics and statistics,"I have been working as the Head of the Statistics Department at Kinnaird College for Women, one of the renowned educational institutions of Pakistan. Soon after my return to Kinnaird subsequent to completion of MSc Statistics at the University of Toronto, Canada in 1984, I became involved in innovative work for the improvement and enhancement of statistical education in Pakistan. My PhD is in the area of Mathematical Statistics, and I am working in the area of continuous probability distributions. I have developed a new class of distributions which possesses an interesting property. I have derived some fundamental properties (such as those pertaining to moments and quantile functions ) that are common to all distributions belonging to this particular class, and, in addition, have derived some new distributions belonging to this particular class of distribution.
",,Female,Professor,Kinnaird College for Women,Pakistan,Unlisted,2007,Santa Fe,Emily,
Computer terminal placement and workflow in an emergency department: A agent-based model,,Health Policy,Health,6,Saleha Habibullah,Statistics,Mathematics and statistics,"I have been working as the Head of the Statistics Department at Kinnaird College for Women, one of the renowned educational institutions of Pakistan. Soon after my return to Kinnaird subsequent to completion of MSc Statistics at the University of Toronto, Canada in 1984, I became involved in innovative work for the improvement and enhancement of statistical education in Pakistan. My PhD is in the area of Mathematical Statistics, and I am working in the area of continuous probability distributions. I have developed a new class of distributions which possesses an interesting property. I have derived some fundamental properties (such as those pertaining to moments and quantile functions ) that are common to all distributions belonging to this particular class, and, in addition, have derived some new distributions belonging to this particular class of distribution.
",,Female,Professor,Kinnaird College for Women,Pakistan,Unlisted,2007,Santa Fe,Emily,
A System Dynamics Model of Smoking Prevalence in Pakistan,,Human Behavior,Health,3,Rhonda BeLue,"Health Policy, Health Administration",Health,"Greetings CSSS colleagues, I am an assistant Professor of Health Policy and Administration at Penn State. I am interested in applying complex systems approaches to inform complex multi-level interventions for chronic relapsing disease in underserved communities/vulnurable populations.
",,Female,Professor,Pennsylvania State University,United States,51-100,2007,Santa Fe,Emily,
Computer terminal placement and workflow in an emergency department: A agent-based model,,Health Policy,Health,6,Rhonda BeLue,"Health Policy, Health Administration",Health,"Greetings CSSS colleagues, I am an assistant Professor of Health Policy and Administration at Penn State. I am interested in applying complex systems approaches to inform complex multi-level interventions for chronic relapsing disease in underserved communities/vulnurable populations.
",,Female,Professor,Pennsylvania State University,United States,51-100,2007,Santa Fe,Emily,
Computer terminal placement and workflow in an emergency department: A agent-based model,,Health Policy,Health,6,Ben Mazzotta,"Economisc, International Politics",Social and behavioural science,"Research interests

Development economics 
Finance for development 
Maritime infrastructure investment 
Value creation in public infrastructure 
Cyber security in public infrastructure ",,Male,Student ,Tufts University,United States,151-200,2007,Santa Fe,Emily,
A System Dynamics Model of Smoking Prevalence in Pakistan,,Human Behavior,Health,3,Heather Beil,"Health Policy, Health Administration",Health,"I am a PhD student in the department of Health Policy and Administration at UNC Chapel Hill. Before coming to UNC, I did my undergrad in biomedical engineering and masters in public health at Boston U. I am interested in quality and access to care for pediatric populations.
",,Female,Student,"University of North Carolina, Chapel Hill",United States,Top 50,2007,Santa Fe,Emily,
Computer terminal placement and workflow in an emergency department: A agent-based model,,Health Policy,Health,6,Heither Beil,"Health Policy, Health Administration",Health,"I am a PhD student in the department of Health Policy and Administration at UNC Chapel Hill. Before coming to UNC, I did my undergrad in biomedical engineering and masters in public health at Boston U. I am interested in quality and access to care for pediatric populations.
",,Female,Student,"University of North Carolina, Chapel Hill",United States,Top 50,2007,Santa Fe,Emily,
Computer terminal placement and workflow in an emergency department: A agent-based model,,Health Policy,Health,6,Mollie Poynton,"Nursing Science, Information Science",Health,"I'm a 2005 PhD graduate (Indiana University: nursing science, information science). I'm currently faculty at the University of Utah. I teach in the graduate informatics programs of the College of Nursing and School of Medicine. My research involves the induction of knowledge models from health care data for the purpose of clinical decision support.

I live in Park City, Utah (Olympic venue in 2002), and I like to ski (mostly nordic style), run, bike, and play with my son. The CSSS is an incredible opportunity to study at SFI and I look forward to learning from both faculty and peers.
",,Female,Professor,University of Utah,United States,101-150,2007,Santa Fe,Emily,
Computer terminal placement and workflow in an emergency department: A agent-based model,,Health Policy,Health,6,Vikas Shah,"Structural Biology, Medicine",Life sciences;Health,"Hey all! I am an MD/PhD student who (at the time of writing) is nearly finished with the program and will be starting my internship and residency immediately following the CSSS. I went to Vanderbilt University in Nashville, TN for the MD/PhD and will be headed first to Good Samaritan Hospital in Phoenix, AZ for a year and then to Stanford University for a three year residency in anesthesiology. I suppose during CSSS I will be a 'stateless entity.'

I did my PhD work in structural biology, looking at characteristics of the human cardiac voltage-gated sodium channel using biomolecular NMR and other biophysical techniques.

My long term research goal is to uncover the neurobiological basis of consciousness. (It's not a dirty word anymore - just ask any of these people, who are having a conference in Vegas June 22 - 25.) To this end I pursued degrees in philosophy and biochemistry as an undergraduate and followed up with medical and research degrees for graduate school. I'm certainly not alone in thinking of consciousness as an emergent phenomenon, and that complex systems theory will have some very important things to say about the subject. This is going to be an exciting month for me, and I'm really looking forward to meeting all of you!

By the way, if any you are climbers you should bring some gear. I haven't had much time to get out recently so I'm probably a 5.7-5.8 climber at this point, but I love spending the day outdoors (which is really what's important anyway). I'll be bringing my trad rack and a 60m rope.
",,Male,Postdoc,Vanderbilt University,United States,Top 50,2007,Santa Fe,Emily,
Learning & the aging brain: how network topology affects robustness to damage,,"Biology, Cognitive Science",Health;Computing,7,Mike Wojnowicz,Cognitive Science,Social and behavioural science,"Hi! I can't wait to meet everyone. I'm a PhD student in cognitive science at Cornell University in Ithaca, New York. I am applying a dynamical systems approach to automaticity, which is the study of nonconscious mental representations.
",,Male,Student,Cornell University,United States,Top 50,2007,Santa Fe,Emily,
Learning & the aging brain: how network topology affects robustness to damage,,"Biology, Cognitive Science",Health;Computing,7,Juergen Pahle,Biochemistry,Life sciences,"when not going paragliding or trying to learn some Chinese, I am working at the EML Research Institute in Heidelberg, Germany, on stochastic and information theoretic methods to analyze and simulate biochemical networks.

I really look forward to seeing you all in Santa Fe.",,Male,Researcher,EMBL Heidelberg,Germany,Not University,2007,Santa Fe,Emily,
Learning & the aging brain: how network topology affects robustness to damage,,"Biology, Cognitive Science",Health;Computing,7,Gregor Obernoster,Biomedicine,Health,,,Male,Student,Massachussetts Institute of Technology,United States,Top 50,2007,Santa Fe,Emily,
Learning & the aging brain: how network topology affects robustness to damage,,"Biology, Cognitive Science",Health;Computing,7,Jose Delgado,Psychology,Social and behavioural science,"My main academic interest is the relationship between neuroscience, decision making, and the law. Most of my present projects deal either with the relationship between decision making and legal systems, or the relationship between computational neuroscience and decision making.",,Male,Student,University of Arizona,United States,101-150,2007,Santa Fe,Emily,
Learning & the aging brain: how network topology affects robustness to damage,,"Biology, Cognitive Science",Health;Computing,7,Natasha Qaisar,Biotechnology,Life sciences,"Hello Everyone! I'm Biotechnologist (B.Sc Hons) and currently lecturer at Centre of Biotechnology, University of Peshawar,Pakistan.I teach genomics, bioinformatics & bioethics.My previous research work was to find out the ligand binding site & key interactions of the enzyme aldehyde dehydorgenase with its confactor by using structural bioinformatics.My main research interest is the holistic concept of systems biology,and the leading-edge technologies of genomics, proteomics and bioinformtaics. As today we need to understand function not on a individual gene/ protein level but on multimolecular modules and even more complex systems, my reserach interest is to gain newer insights into the pathogenesis of third-world countries infectious diseases and cancer, and development of new drugs & therapeutics by the application of systems biology.I think the emergence of systems biology has resulted in better understanding of disease mechanism because it explains how the molecular charactersitics of cellular components give rise to the complex organization and integrated properties of a cell, tissue, organ, or organism as a whole.",,Female,Professor,University of Peshawar,Pakistan,Unlisted,2007,Santa Fe,Emily,
Learning & the aging brain: how network topology affects robustness to damage,,"Biology, Cognitive Science",Health;Computing,7,Kristen Fortney,Computational Neuroscience,Social and behavioural science;Computing,"I'm doing my MSc in computational neuroscience at the University of Toronto (my undergraduate degree is in math & physics). Very broadly, I'm interested in figuring out how our brains are able to learn so flexibly and so well (i.e. what kinds of learning algorithms the brain is running), so that this knowledge can be applied to create human-level artificial intelligence. My thesis work integrates ideas from machine learning and control theory to build models of general sensorimotor learning in the brain.

My other academic interests include mathematical biology and bioinformatics (in particular, evolutionary dynamics and modeling cell aging and death), and information theory and its applications.",,Female,Student,University of Toronto,Canada,Top 50,2007,Santa Fe,Emily,
