Topic,Topic_isced,Size,Discipline,Discipline_isced,Nationality,Gender,Position,Country_University,Prestige,Year,Location,
Engineering,Engineering and engineering trades,6,"Biology, Ecology",Life sciences,,Male,Student,United States,Unlisted,2010,Santa Fe,
,Engineering and engineering trades,4,Engineering,Engineering and engineering trades,,Male,Student,China,Unlisted,2006,Beijing,
,Engineering and engineering trades,3,Engineering,Engineering and engineering trades,China,Male,Student,China,201-300,2006,Beijing,
,Engineering and engineering trades,4,,,,Male,,United States,Top 50,2006,Beijing,
,Engineering and engineering trades,2,,,,Male,,Switzerland,Top 50,2005,Santa Fe,
,Engineering and engineering trades,3,Engineering,Engineering and engineering trades,China,Male,Professor,China,201-300,2006,Beijing,
,Engineering and engineering trades,7,"Engineering, Complex Systems",Engineering and engineering trades,,Female,Postdoc,Spain,Unlisted,2015,Santa Fe,
,Engineering and engineering trades,7,Engineering,Engineering and engineering trades,,Female,Professor,Spain,Unlisted,2015,Santa Fe,
,Engineering and engineering trades,7,Economics,Social and behavioural science,,Female,Student,Italy,Unlisted,2015,Santa Fe,
,Engineering and engineering trades,4,,,,Male,,Germany,401-500,2005,Beijing,
,Engineering and engineering trades,6,Engineering,Engineering and engineering trades,,Female,Student,United Kingdom,51-100,2016,Santa Fe,
Engineering,Engineering and engineering trades,6,Geology,Physical Sciences,,Male,Student,United States,Top 50,2010,Santa Fe,
,Engineering and engineering trades,3,,,China,Male,Student,United States,Top 50,2006,Beijing,
Engineering,Engineering and engineering trades,6,Computer Science,Computing,,Male,Student,United States,301-400,2010,Santa Fe,
,Engineering and engineering trades,4,,,,Female,,United Kingdom,Top 50,2005,Beijing,
,Engineering and engineering trades,2,,,,Female,,United States,51-100,2005,Santa Fe,
Engineering,Engineering and engineering trades,6,Ecology,Life sciences,,Male,Student,United States,Top 50,2010,Santa Fe,
,Engineering and engineering trades,6,"Biology, Data Science",Life sciences;Mathematics and statistics,,Male,Student,United States,Top 50,2016,Santa Fe,
,Engineering and engineering trades,2,,,,Female,,United Kingdom,301-400,2005,Santa Fe,
Environmental Science,Environmental protection,6,Public Policy,Social and behavioural science,,Male,Student,Netherlands,151-200,2010,Santa Fe,
Environmental Science,Environmental protection,6,Engineering,Engineering and engineering trades,,Female,Government,United States,Not University,2010,Santa Fe,
Environmental Science,Environmental protection,4,Computer Science,Computing,,Male,Industry,United States,Not University,2009,Santa Fe,
Environmental Science,Environmental protection,6,"Computer Science, Social Science",Computing;Social and behavioural science,,Female,Student,United States,201-300,2010,Santa Fe,
Environmental Science,Environmental protection,6,Computer Science,Computing,,Female,Industry,United States,Not University,2010,Santa Fe,
Environmental Science,Environmental protection,6,Computer Science,Computing,,Male,Industry,United States,Not University,2010,Santa Fe,
Environmental Science,Environmental protection,6,Management,Business and administration,,Female,Student,United States,Unlisted,2010,Santa Fe,
Environmental Science,Environmental protection,4,Health,Health,,Female,Student,Canada,Top 50,2009,Santa Fe,
Environmental Science,Environmental protection,4,Geography,Social and behavioural science,,Female,PostDoc,Austria,151-200,2009,Santa Fe,
Environmental Science,Environmental protection,4,Environemntal Science,Environmental protection,,Female,Student,United States,Unlisted,2009,Santa Fe,
Policy,Environmental Protection;Agriculture and forestry and fishery,6,,,,Female,,Hungary,Unlisted,2007,Beijing,
Policy,Environmental Protection;Agriculture and forestry and fishery,6,Electronic Engineering,Engineering and engineering trades,,Female,Student,China,Top 50,2007,Beijing,
Policy,Environmental Protection;Agriculture and forestry and fishery,6,,,,,,China,Top 50,2007,Beijing,
Policy,Environmental Protection;Agriculture and forestry and fishery,6,Agronomy ,Agriculture and forestry and fishery,Argentina,Male,Student,Argentinia,201-300,2007,Beijing,
Policy,Environmental Protection;Agriculture and forestry and fishery,6,"Food Science, Ecoloy and Environmental Science",Agriculture and forestry and fishery;Life sciences,Peru,Female,Student,Germany,101-150,2007,Beijing,
Policy,Environmental Protection;Agriculture and forestry and fishery,6,Behavioral Ecology,Life sciences,,Male,Student,United Kingdom,Top 50,2007,Beijing,
,Health,6,Physics,Physical sciences,,Male,Industry,Netherlands,Not University,2015,Santa Fe,
,Health,4,Mathematics,Mathematics and statistics,Ecuador,Male,Student,United States,101-150,2018,Santa Fe,
Epidemiology,Health,4,Applied Mathematics,Mathematics and statistics,Cuban,Male,Student,United States,101-150,2012,Santa Fe,
Epidemiology,Health,4,Statistics,Mathematics and statistics,,Male,Student,United States,Top 50,2012,Santa Fe,
,Health,4,Epidemiology,Health,,Female,Postdoc,United States,Not University,2018,Santa Fe,
,Health,5,Epidemiology,Health,,Female,Postdoc,United States,Not University,2018,Santa Fe,
"Medicine, Biology",Health,5,Medicine,Health,,Male,Student,United States,101-150,2010,Santa Fe,
,Health,4,"Physics, Public Health",Physical sciences;Health,,Male,Student,Switzerland,51-100,2018,Santa Fe,
,Health,5,"Physics, Public Health",Physical sciences;Health,,Male,Student,Switzerland,51-100,2018,Santa Fe,
Epidemiology,Health,12,Economics,Social and behavioural science,Spanish,Male,Student,Italy,Unlisted,2014,Santa Fe,
"Medicine, Biology",Health,3,Economics,Social and behavioural science,,Male,Student,United States,201-300,2009,Santa Fe,
Epidemiology,Health,12,Economics,Social and behavioural science,,Male,Student,United States,201-300,2014,Santa Fe,
Epidemiology,Health,12,Business,Business and administration,,Male,Industry,Australia,Not University,2014,Santa Fe,
,Health,4,Epidemiology,Health,,Female,Student,United States,Top 50,2018,Santa Fe,
,Health,5,Epidemiology,Health,,Female,Student,United States,Top 50,2018,Santa Fe,
Epidemiology,Health,4,Epidemiology,Health,United States,Male,Researcher,United States,Top 50,2012,Santa Fe,
,Health,4,Medicine,Health,,Male,Postdoc,United States,Top 50,2018,Santa Fe,
Human Behavior,Health,3,Statistics,Mathematics and statistics,,Female,Professor,Pakistan,Unlisted,2007,Santa Fe,
Health Policy,Health,6,Statistics,Mathematics and statistics,,Female,Professor,Pakistan,Unlisted,2007,Santa Fe,
"Medicine, Biology",Health,5,Engineering,Engineering and engineering trades,,Male,Industry,United States,Not University,2010,Santa Fe,
"Medicine, Biology",Health,3,Engineering,Engineering and engineering trades,United States,Male,Industry,United States,Not University,2009,Santa Fe,
"Medicine, Biology",Health,3,Physics,Physical Sciences,,Female,Student,Singapore,51-100,2009,Santa Fe,
"Biology, Medicine",Health,2,Physiotherapy,Health,,Male,Professor,Japan,Unlisted,2008,Santa Fe,
,Health,6,"Biochemistry, Media and Communication",Life sciences;Physical sciences,,Female,Professor,United States,Not University,2015,Santa Fe,
Biology,Health,5,Epidemiology,Health,United States,Male,Student,United States,51-100,2014,Santa Fe,
Epidemiology,Health,6,Epidemiology,Health,United States,Male,Student,United States,51-100,2014,Santa Fe,
Human Behavior,Health,3,"Health Policy, Health Administration",Health,,Female,Professor,United States,51-100,2007,Santa Fe,
Health Policy,Health,6,"Health Policy, Health Administration",Health,,Female,Professor,United States,51-100,2007,Santa Fe,
,Health,5,Systems Science,Health;Computing,,Male,Student,United States,Unlisted,2018,Santa Fe,
,Health,4,Mathematics,Mathematics and statistics,,Male,Student,United Kingdom,151-200,2018,Santa Fe,
"Medicine, Biology",Health,5,Physics,Physical Sciences,,Male,Industry,United States,Not University,2010,Santa Fe,
Epidemiology,Health,6,Computer Science,Computing,United States,Male,Student,United States,101-150,2014,Santa Fe,
,Health,6,Engineering,Engineering and engineering trades,,Female,Student,Singapore,Unlisted,2015,Santa Fe,
,Health,6,Political Science,Social and behavioural science,,Male,Professor,United States,401-500,2015,Santa Fe,
,Health,6,Economics,Social and behavioural science,,Female,Researcher,Denmark,Not University,2017,Santa Fe,
"Biology, Medicine",Health,2,Medicine,Health,,Male,Medicine,United States,Not University,2008,Santa Fe,
Health Policy,Health,6,"Economisc, International Politics",Social and behavioural science,,Male,Student ,United States,151-200,2007,Santa Fe,
Epidemiology,Health,6,Ecology,Life sciences,Brazilian,Female,Student,Brazil,151-200,2014,Santa Fe,
Epidemiology,Health,12,Ecology,Life sciences,Brazilian,Female,Student,Brazil,151-200,2014,Santa Fe,
Epidemiology,Health,4,Physics,Physical sciences,Canadian,Male,Student,Canada,201-300,2012,Santa Fe,
"Medicine, Biology",Health,5,Physics,Physical Sciences,,Male,Student,United States,51-100,2010,Santa Fe,
,Health,4,Physics,Physical sciences,Russia,Female,Student,United States,51-100,2018,Santa Fe,
,Health,4,Physics,Physical sciences,,Female,Student,United States,51-100,2018,Santa Fe,
Epidemiology,Health,12,Ecology,Life sciences,United States,Male,Student,United States,151-200,2014,Santa Fe,
,Health,6,Social Data Science,Social and behavioural science;Mathematics and statistics,,Male,Student,Denmark,Top 50,2017,Santa Fe,
,Health,6,Engineering,Engineering and engineering trades,,Male,Researcher,China,201-300,2015,Santa Fe,
"Public Health, ",Health,3,Engineering,Engineering and engineering trades,,Female,Student,United States,51-100,2009,Santa Fe,
"Medicine, Biology",Health,5,"Biology, Computer Science",Life sciences;Computing,,Male,Student,Germany,Unlisted,2010,Santa Fe,
,Health,6,Information Science,Computing,,Male,Student,United States,151-200,2017,Santa Fe,
Epidemiology,Health,12,Economics,Social and behavioural science,Italian,Male,Student,Switzerland,101-150,2014,Santa Fe,
,Health,6,Physics,Physical sciences,,Male,Student,United States,51-100,2015,Santa Fe,
Epidemiology,Health,12,Computer Science,Computing,,Male,Student,United States,301-400,2014,Santa Fe,
Human Behavior,Health,3,"Health Policy, Health Administration",Health,,Female,Student,United States,Top 50,2007,Santa Fe,
Health Policy,Health,6,"Health Policy, Health Administration",Health,,Female,Student,United States,Top 50,2007,Santa Fe,
Epidemiology,Health,6,Medicine,Health,,Male,Student,United Kingdom,Top 50,2014,Santa Fe,
Epidemiology,Health,12,Medicine,Health,,Male,Student,United Kingdom,Top 50,2014,Santa Fe,
,Health,6,Computer Science,Computing,,Male,Postdoc,United States,151-200,2017,Santa Fe,
Epidemiology,Health,12,Physics,Physical sciences,Italian,Male,Student,United Kingdom,Unlisted,2014,Santa Fe,
"Public Health, ",Health,3,"Biology, Ecology",Life sciences,,Female,Student,United States,Top 50,2009,Santa Fe,https://www.ars.usda.gov/plains-area/temple-tx/grassland-soil-and-water-research-laboratory/people/kathrine-behrman/
"Public Health, ",Health,3,Ecology,Life sciences,,Male,Student,United States,Top 50,2009,Santa Fe,
Biology,Health,5,Medicine,Health,,Male,Researcher,United States,Top 50,2014,Santa Fe,
Epidemiology,Health,6,Medicine,Health,,Male,Researcher,United States,Top 50,2014,Santa Fe,
,Health,6,Neuroscience,Social and behavioural science,,Female,Student,United States,Top 50,2017,Santa Fe,
Epidemiology,Health,12,Economics,Social and behavioural science,Italian,Female,Student,Italy,Unlisted,2014,Santa Fe,
Health Policy,Health,6,"Nursing Science, Information Science",Health,,Female,Professor,United States,101-150,2007,Santa Fe,
Biology,Health,5,Engineering,Engineering and engineering trades,,Male,Student,United States,301-400,2014,Santa Fe,
,Health,6,Ecology,Life sciences,,Male,Student,United States,301-400,2017,Santa Fe,
Epidemiology,Health,12,Mathematics,Mathematics and statistics,French,Female,Student,France,101-150,2014,Santa Fe,
Biology,Health,5,Biology,Life sciences,,Female,Student,Netherlands,51-100,2014,Santa Fe,
Epidemiology,Health,12,Ecology,Life sciences,,Female,Student,Netherlands,51-100,2014,Santa Fe,
Health Policy,Health,6,"Structural Biology, Medicine",Life sciences;Health,,Male,Postdoc,United States,Top 50,2007,Santa Fe,
Biology,Health,5,Medicine,Health,United States,Male,Researcher,United States,Not University,2014,Santa Fe,
Epidemiology,Health,6,Medicine,Health,United States,Male,Researcher,United States,Not University,2014,Santa Fe,
,Health,5,Ecology,Life sciences,,Male,Student,United States,Top 50,2018,Santa Fe,
"Biology, Cognitive Science",Health;Computing,7,Cognitive Science,Social and behavioural science,,Male,Student,United States,Top 50,2007,Santa Fe,
"Biology, Cognitive Science",Health;Computing,7,Biochemistry,Life sciences,,Male,Researcher,Germany,Not University,2007,Santa Fe,
"Biology, Cognitive Science",Health;Computing,7,Biomedicine,Health,,Male,Student,United States,Top 50,2007,Santa Fe,
"Biology, Cognitive Science",Health;Computing,7,Psychology,Social and behavioural science,,Male,Student,United States,101-150,2007,Santa Fe,
"Biology, Cognitive Science",Health;Computing,7,Biotechnology,Life sciences,,Female,Professor,Pakistan,Unlisted,2007,Santa Fe,
"Biology, Cognitive Science",Health;Computing,7,Computational Neuroscience,Social and behavioural science;Computing,,Female,Student,Canada,Top 50,2007,Santa Fe,
"Biology, Cognitive Science",Health;Computing,7,"Structural Biology, Medicine",Life sciences;Health,,Male,Postdoc,United States,Top 50,2007,Santa Fe,
,Health;Life sciences,6,Biology,Life sciences,,Male,Student,United States,301-400,2017,Santa Fe,
,Health;Life sciences,6,Cultural Evolution,Humanities,,Male,Student,New Zealand,Unlisted,2017,Santa Fe,
,Health;Life sciences,3,"Biology, Computer Science",Life sciences;Computing,,Female,Student,United States,Unlisted,2017,Santa Fe,
,Health;Life sciences,6,"Ecology, Biology",Life sciences,,Male,Student,United States,51-100,2017,Santa Fe,
,Health;Life sciences,6,Epidemiology,Health,,Female,Student,United States,Top 50,2017,Santa Fe,
,Health;Life sciences,3,Computer Science,Computing,,Male,Student,United States,51-100,2017,Santa Fe,
,Health;Life sciences,3,Ecology,Life sciences,,Male,Student,United States,301-400,2017,Santa Fe,
,Health;Life sciences,6,"Mathematics, Biology",Mathematics and statistics;Life sciences,,Female,Student,Netherlands,51-100,2017,Santa Fe,
,Health;Life sciences,6,Medicine,Health,,Male,Government,United States,Not University,2017,Santa Fe,
,Health;Mathematics and statistics,4,Medicine,Health,,Male,Postdoc,United States,Top 50,2018,Santa Fe,
,Health;Mathematics and statistics,6,Engineering,Engineering and engineering trades,,Female,Government,United States,Not University,2017,Santa Fe,
,Health;Mathematics and statistics,6,Physics,Physical sciences,,Male,Government,United States,Not University,2017,Santa Fe,
,Health;Mathematics and statistics,4,Mathematics,Mathematics and statistics,,Male,Student,United Kingdom,151-200,2018,Santa Fe,
,Health;Mathematics and statistics,6,Computational Science,Computing,,Female,Student,Netherlands,101-150,2017,Santa Fe,
,Health;Mathematics and statistics,4,Physics,Physical sciences,,Female,Student,United States,51-100,2018,Santa Fe,
,Health;Mathematics and statistics,4,Physics,Physical sciences,Russia,Female,Student,United States,51-100,2018,Santa Fe,
,Health;Mathematics and statistics,6,Epidemiology,Health,,Female,Student,United States,Top 50,2017,Santa Fe,
,Health;Mathematics and statistics,6,Epidemiology,Health,,Female,Student,United States,Top 50,2017,Santa Fe,
,Health;Mathematics and statistics,6,Epidemiology,Health,,Male,Student,United States,Top 50,2017,Santa Fe,
Psychology,Humanities,20,Physics,Physical sciences,United States,Male,Student,United States,101-150,2014,Santa Fe,
,Humanities,3,,,,Female,,Argentinia,Not University,2005,Beijing,
Linguistics,Humanities,4,Economics,Social and behavioural science,Czech Republic,Male,Student,Czech Republic,201-300,2008,Santa Fe,
,Humanities,8,Neuroscience,Social and behavioural science,,Male,Student,United States,Not University,2016,Santa Fe,
Literature,Humanities,3,English,Humanities,,Male,Student,United States,Top 50,2012,Santa Fe,
Linguistics,Humanities,5,Computer Science,Computing,,Male,Student,United States,201-300,2010,Santa Fe,
History,Humanities,8,Applied Mathematics,Mathematics and statistics,Italian,Female,Student,France,51-100,2013,Santa Fe,
,Humanities,8,Economics,Social and behavioural science,,Male,Student,France,301-400,2016,Santa Fe,
Linguistics,Humanities,5,Management,Business and administration,,Male,Student,Switzerland,Top 50,2010,Santa Fe,
,Humanities,3,,,,Male,,Serbia and Montenegro,Unlisted,2005,Beijing,
History,Humanities,8,Theoretical Physics,Physical sciences,Chinese,Male,PostDoc,United States,201-300,2013,Santa Fe,
History,Humanities,8,Computational Social Science,Computing;Social and behavioural science,,Male,Student,United States,201-300,2013,Santa Fe,
Psychology,Humanities,20,Business,Business and administration,,Male,Industry,Australia,Not University,2014,Santa Fe,
Linguistics,Humanities,5,"Engineering, Mathematics",Engineering and engineering trades;Mathematics and statistics,,Male,Student,United Kingdom,Top 50,2010,Santa Fe,
Psychology,Humanities,20,Systems Engineering,Engineering and engineering trades,,Male,Student,United Kingdom,Top 50,2014,Santa Fe,
,Humanities,3,,,,,,United States,101-150,2005,Beijing,Could also be Zhou Chan
Psychology,Humanities,20,Urban Planning,Architecture and building,Brazilian,Male,Researcher,Brazil,Not University,2014,Santa Fe,
,Humanities,3,,,,,,China,Not University,2005,Beijing,
Psychology,Humanities,20,Medicine,Health,Japanese,Male,Researcher,United States,Top 50,2014,Santa Fe,
,Humanities,5,Computer Science,Computing,Ukraine,Male,Postdoc,United States,Not University,2016,Santa Fe,
Psychology,Humanities,20,Ecology,Life sciences,,Male,Student,Australia,201-300,2014,Santa Fe,
Linguistics,Humanities,4,Linguistics,Humanities,Austria,Male,Student,United States,Top 50,2008,Santa Fe,
Literature,Humanities,5,Cognitive Sciences,Social and behavioural science,United States,Male,Student,United States,Top 50,2013,Santa Fe,
Literature,Humanities,5,Cognitive Sciences,Social and behavioural science,United States,Male,Student,United States,Top 50,2013,Santa Fe,
Psychology,Humanities,20,Economics,Social and behavioural science,,Male,Student,Germany,Not University,2014,Santa Fe,
Philosophy,Humanities,1,,,,Female,Industry,United States,Not University,2006,Santa Fe,
,Humanities,5,Engineering,Engineering and engineering trades,,Male,Researcher,United States,Not University,2016,Santa Fe,
Psychology,Humanities,20,Ecology,Life sciences,,Female,PostDoc,United States,51-100,2014,Santa Fe,
,Humanities,8,Neuroscience,Social and behavioural science,,Male,Postdoc,United States,Top 50,2016,Santa Fe,
Psychology,Humanities,20,Computer Science,Computing,United States,Male,Student,United States,101-150,2014,Santa Fe,
Linguistics,Humanities,5,Biology,Life sciences,,Female,Student,United States,Top 50,2010,Santa Fe,
,Humanities,8,Computer Science,Computing,,Male,Student,United States,Top 50,2016,Santa Fe,
,Humanities,5,Mathematics,Mathematics and statistics,,Male,Industry,United States,Not University,2016,Santa Fe,
Linguistics,Humanities,2,Physics,Physical Sciences,,Male,student,Spain,201-300,2009,Santa Fe,"Not really a student, just graduated. but still pretty good."
History,Humanities,8,Physics,Physical sciences,,Male,Student,Spain,201-300,2013,Santa Fe,
Psychology,Humanities,20,Computational Linguistics,Computing;Humanities,Spanish,Female,Student,Spain,201-300,2014,Santa Fe,
,Humanities,8,Geography,Social and behavioural science,,Male,Student,France,101-150,2016,Santa Fe,
,Humanities,8,Environmental Science,Life sciences,Switzerland,Male,Student,United Kingdom,51-100,2016,Santa Fe,
Linguistics,Humanities,2,Physics,Physical Sciences,Canada,Male,Student,Canada,151-200,2009,Santa Fe,Will have joined Princeton University the following year
,Humanities,8,Biology,Life sciences,China,Female,Student,United States,Top 50,2016,Santa Fe,
,Humanities,5,Animal Behavior,Life sciences,,Female,Student,United States,51-100,2016,Santa Fe,
Psychology,Humanities,20,Ecology,Life sciences,United States,Male,Student,United States,151-200,2014,Santa Fe,
Literature,Humanities,5,Computational Biology,Computing;Life sciences,,Male,Student,United States,151-200,2013,Santa Fe,
,Humanities,5,Biology,Life sciences,,Female,Student,United States,Top 50,2016,Santa Fe,
Literature,Humanities,5,Computer Science,Computing,,Female,Student,United States,Top 50,2013,Santa Fe,
History,Humanities,8,Linguistics,Humanities,,Male,Student,United Kingdom,Top 50,2013,Santa Fe,
Literature,Humanities,3,Biochemistry,Life sciences,,Male,Researcher,United States,51-100,2012,Santa Fe,
Linguistics,Humanities,4,Oceanography,Physical sciences,,Male,Student,United States,201-300,2008,Santa Fe,
,Humanities,8,Economics,Social and behavioural science,,Male,Student,Italy,151-200,2016,Santa Fe,
Psychology,Humanities,20,Medicine,Health,,Female,Researcher,United States,Top 50,2014,Santa Fe,
Psychology,Humanities,20,Economics,Social and behavioural science,,Male,Student,Belgium,Unlisted,2014,Santa Fe,
Psychology,Humanities,20,Computer Science,Computing,,Male,Student,United States,301-400,2014,Santa Fe,
History,Humanities,8,Media Arts and Sciences,Arts,,Female,Researcher,United States,Top 50,2013,Santa Fe,
Linguistics,Humanities,4,"Genomics, Computational Biology",Life sciences,,Female,Student,United States,Top 50,2008,Santa Fe,
History,Humanities,8,Biochemistry,Life sciences,Chinese,Female,Student,United States,Top 50,2013,Santa Fe,
Psychology,Humanities,20,Computer Science,Computing,Pakistani,Male,Student,Germany,Unlisted,2014,Santa Fe,
Linguistics,Humanities,5,Physics,Physical Sciences,,Female,Student,Philippines,Unlisted,2010,Santa Fe,
Literature,Humanities,5,Applied Mathematics,Mathematics and statistics,,Male,Student,United States,301-400,2013,Santa Fe,
Psychology,Humanities,20,Mathematics,Mathematics and statistics,,Male,Student,United States,301-400,2014,Santa Fe,
Psychology,Humanities,20,Chemistry,Physical sciences,Spanish,Male,Student,Switzerland,51-100,2014,Santa Fe,
Psychology,Humanities,20,Mathematics,Mathematics and statistics,French,Female,Student,France,101-150,2014,Santa Fe,
Literature,Humanities,3,Ecology,Life sciences,Swedish,Male,Student,Sweden,51-100,2012,Santa Fe,
Psychology,Humanities,20,Biology,Life sciences,,Female,Student,Netherlands,51-100,2014,Santa Fe,
Psychology,Humanities,20,FIne Arts,Arts,,Female,Student,United States,Top 50,2014,Santa Fe,
,Humanities,3,,,,,,China,,2005,Beijing,"Does not have an affiliation, but it still says which country the person arrived from."
,Humanities,3,,,,Male,,,,2005,Beijing,
,Humanities;Computing,5,Computer Science,Computing,,Male,Student,Turkey,Unlisted,2017,Santa Fe,
,Humanities;Computing,5,Cultural Evolution,Humanities,,Male,Student,New Zealand,Unlisted,2017,Santa Fe,
,Humanities;Computing,5,Physics,Physical sciences,,Male,Government,United States,Not University,2017,Santa Fe,
,Humanities;Computing,5,Computational Science,Computing,,Female,Student,Netherlands,101-150,2017,Santa Fe,
,Humanities;Computing,5,"Mathematics, Biology",Mathematics and statistics;Life sciences,,Female,Student,Netherlands,51-100,2017,Santa Fe,
,Journalism and information,6,Archaeology,Humanities,,Female,Researcher,United States,Not University,2018,Santa Fe,
,Journalism and information,6,Engineering,Engineering and engineering trades,,Male,Government,United States,Not University,2018,Santa Fe,
,Journalism and information,6,Engineering,Engineering and engineering trades,Mexico,Female,Student,Mexico,Not University,2018,Santa Fe,
,Journalism and information,6,Communication,Journalism and information,,Male,Student,United States,51-100,2018,Santa Fe,
,Journalism and information,6,"Engineering, Environmental Science",Engineering and engineering trades;Life sciences,,Female,Researcher,United States,Not University,2018,Santa Fe,
,Journalism and information,6,Complex Systems,Physical sciences,,Male,Student,Australia,51-100,2018,Santa Fe,
Biology,Life sciences,10,Physics,Physical sciences,United States,Male,Student,United States,101-150,2014,Santa Fe,
Ecology,Life sciences,7,Physics,Physical sciences,United States,Male,Student,United States,101-150,2014,Santa Fe,
"Biology, Ecology",Life sciences,5,Physics,Physical Sciences,,Male,Student,Australia,51-100,2009,Santa Fe,
,Life sciences,2,Ecology,Life sciences,,Female,Student,Spain,301-400,2018,Santa Fe,
,Life sciences,3,,,,,,China,201-300,2005,Beijing,
Ecology,Life sciences,5,Theoretical Ecology,Life sciences,,Male,Student,China,201-300,2007,Beijing,
Ecology,Life sciences,5,Theoretical Ecology,Life sciences,,Male,Student,China,201-300,2007,Beijing,
Ecology,Life sciences,4,"Mathematics, Computer Science",Mathematics and statistics;Computing,,Male,Student,United States,51-100,2010,Santa Fe,
,Life sciences,3,Physics,Physical sciences,,Male,Student,United States,51-100,2016,Santa Fe,Published: https://onlinelibrary.wiley.com/doi/abs/10.1111/ele.12821
Ecology,Life sciences,7,Economics,Social and behavioural science,German,Male,Student,Germany,401-500,2014,Santa Fe,
,Life sciences,4,,,,Male,,United States,101-150,2005,Santa Fe,
Ecology,Life sciences,5,"Physics, Complex Adaptive Systems",Physical sciences,,Male,Student,Sweden,201-300,2007,Beijing,
Ecology,Life sciences,5,"Physics, Complex Adaptive Systems",Physical sciences,,Male,Student,Sweden,201-300,2007,Beijing,
Biology,Life sciences,5,Complex Systems,Engineering and engineering trades,,Male,Student,Sweden,201-300,2007,Santa Fe,
Biology,Life sciences,1,Energy & Environmnet,Life sciences,,Male,Student,Sweden,201-300,2013,Santa Fe,
Biology,Life sciences,2,Mathematics,Mathematics and statistics,,Male,Student,China,Not University,2010,Santa Fe,
Ecology,Life sciences,5,"Tone Perception, Tone Emergence",Humanities,,,Student,Hong Kong,150-200,2007,Beijing,
Ecology,Life sciences,4,"Tone Perception, Tone Emergence",Humanities,,,Student,Hong Kong,150-200,2007,Beijing,
Ecology,Life sciences,5,"Tone Perception, Tone Emergence",Humanities,,,Student,Hong Kong,150-200,2007,Beijing,
Ecology,Life sciences,5,"Tone Perception, Tone Emergence",Humanities,,,Student,Hong Kong,150-200,2007,Beijing,
,Life sciences,4,Biology,Life sciences,United States,Male,Student,United States,Unlisted,2018,Santa Fe,
Biology,Life sciences,7,"Mathematics, Machine Learning",Mathematics and statistics,,Male,Student,United States,Top 50,2007,Santa Fe,
,Life sciences,2,,,,Female,,United States,Top 50,2005,Santa Fe,
Ecology,Life sciences,8,Ecology,Life sciences,Japanese,Male,PostDoc,United States,Top 50,2013,Santa Fe,
Ecology,Life sciences,7,"Ecology, Earth Sciences",Life sciences;Physical sciences,,Male,PostDoc,Australia,Not University,2010,Santa Fe,
Ecology,Life sciences,4,"Ecology, Earth Sciences",Life sciences;Physical sciences,,Male,PostDoc,Australia,Not University,2010,Santa Fe,
Biology,Life sciences,5,"Engineering, Fluid Dynamics",Engineering and engineering trades,,Male,Postdoc,Australia,Not University,2007,Santa Fe,
Ecology,Life sciences,8,Biology,Life sciences,,Male,Student,Canada,301-400,2013,Santa Fe,
Ecology,Life sciences,5,Biology,Life sciences,,Male,Student,Canada,301-400,2013,Santa Fe,
Biology,Life sciences,2,"Physics, Biology",Physical Sciences;Life sciences,,Male,Student,Netherlands,151-200,2010,Santa Fe,
,Life sciences,8,"Physics, Sustainability",Physical sciences;Environmental protection,,Female,Professor,Netherlands,151-200,2017,Santa Fe,
Biology,Life sciences,2,Computational Neuroscience,Social and behavioural science;Computing,,Female,Student,Switzerland,51-100,2007,Santa Fe,
,Life sciences,2,Biology,Life sciences,,Female,Student,Switzerland,Top 50,2017,Santa Fe,
"Genetics, Biology",Life sciences,3,Theoretical Physics,Physical sciences,Chinese,Male,PostDoc,United States,201-300,2013,Santa Fe,
,Life sciences,4,Physics,Physical sciences,,Male,Student,United Kingdom,Not University,2016,Santa Fe,
Ecology,Life sciences,5,Physics,Physical sciences,,Male,Student,United States,51-100,2013,Santa Fe,
Ecology,Life sciences,2,Business,Business and administration,,Male,Industry,Australia,Not University,2014,Santa Fe,
Ecology,Life sciences,7,Physics,Physical sciences,,Male,Student,Hong Kong,201-300,2014,Santa Fe,
"Ecology, Information Theory",Life sciences,3,Electrical Engineering,Engineering and engineering trades,,,Student,China,151-200,2007,Beijing,
Ecology,Life sciences,8,Biology,Life sciences,Portuguese,Female,Researcher,Portugal,Unlisted,2013,Santa Fe,
Biology,Life sciences,4,Bioengineering,Engineering and engineering trades;Life sciences,,Female,Student,United Kingdom,Top 50,2007,Santa Fe,
Ecology,Life sciences,4,"Biocomplexity, Physics",Physical sciences,,Male,Student,United States,101-150,2007,Beijing,
Ecology,Life sciences,5,"Biocomplexity, Biology",Physical sciences,,Male,Student,United States,101-150,2007,Beijing,
Ecology,Life sciences,4,"Public Affairs, Environmental Affairs",Business and administration,,Male,Student,United States,101-150,2008,Santa Fe,
,Life sciences,4,,,,Male,,United States,101-150,2005,Santa Fe,
,Life sciences,2,,,,,,United States,101-150,2005,Beijing,Could also be Zhou Chan
,Life sciences,2,,,,Male,,Mexico,Not University,2005,Santa Fe,
,Life sciences,2,,,,,,China,Not University,2005,Beijing,
"Biology, Ecology",Life sciences,5,Biology,Life sciences,,Female,Student,Portugal,Not University,2009,Santa Fe,
Ecology,Life sciences,4,Engineering,Engineering and engineering trades;Physical sciences,,Male,Postdoc,United States,201-300,2007,Santa Fe,
